"","TimeStamp","Enlem(N)","Boylam(E)","Derinlik(km)","MD","ML","Mw","Yer","Çözüm Niteligi"
"115","2020.12.16 04:45:18","35.6962"," 26.2790"," 11.3","-.-","2.6","-.-"," AKDENIZ"," Ilksel"
"116","2020.12.16 04:32:12","42.1287"," 24.8295","3.0","-.-","2.2","-.-"," BULGARISTAN"," Ilksel"
"117","2020.12.16 04:30:03","38.2160"," 39.1832","2.3","-.-","1.7","-.-"," HANDERE-CUNGUS (DIYARBAKIR)"," Ilksel"
"118","2020.12.16 04:29:08","35.6702"," 26.3075"," 16.2","-.-","2.5","-.-"," AKDENIZ"," Ilksel"
"119","2020.12.16 04:28:47","38.6658"," 26.6110"," 12.2","-.-","1.6","-.-"," IZMIR KORFEZI (EGE DENIZI)","Ilksel"
"120","2020.12.16 04:00:31","40.1355"," 38.7398","7.3","-.-","1.4","-.-"," CAMOLUK (GIRESUN)"," Ilksel"
"121","2020.12.16 03:48:22","37.8292"," 26.7683"," 20.5","-.-","1.6","-.-"," EGE DENIZI","Ilksel"
"122","2020.12.16 03:41:58","37.8998"," 26.7805"," 13.1","-.-","1.9","-.-"," EGE DENIZI","Ilksel"
"123","2020.12.16 03:41:21","37.8272"," 26.8248"," 21.9","-.-","1.9","-.-"," SISAM ADASI (EGE DENIZI)","Ilksel"
"124","2020.12.16 03:37:37","37.8217"," 26.8135","4.0","-.-","2.2","-.-"," SISAM ADASI (EGE DENIZI)","Ilksel"
"125","2020.12.16 03:20:19","37.0950"," 28.4635","7.4","-.-","1.9","-.-"," CICEKLI-ULA (MUGLA)"," Ilksel"
"126","2020.12.16 02:34:07","39.0787"," 26.0327","4.9","-.-","2.2","-.-"," MIDILLI ADASI (EGE DENIZI)","Ilksel"
"127","2020.12.16 02:24:58","35.9327"," 28.5435","5.0","-.-","1.5","-.-"," AKDENIZ"," Ilksel"
"128","2020.12.16 02:10:30","37.0103"," 27.6032","2.7","-.-","1.6","-.-"," GOKOVA KORFEZI (AKDENIZ)","Ilksel"
"129","2020.12.16 02:01:18","39.9877"," 26.1215"," 12.6","-.-","1.9","-.-"," UVECIK ACIKLARI-CANAKKALE (EGE DENIZI)","Ilksel"
"130","2020.12.16 01:44:44","37.8527"," 26.7048"," 11.7","-.-","2.1","-.-"," EGE DENIZI","Ilksel"
"131","2020.12.16 01:35:23","38.0158"," 27.1818"," 15.5","-.-","1.3","-.-"," CILE-MENDERES (IZMIR)"," Ilksel"
"132","2020.12.16 01:31:38","37.7958"," 27.0148","6.6","-.-","1.9","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"133","2020.12.16 01:15:52","40.5223"," 29.0472"," 16.5","-.-","1.2","-.-"," NARLI-GEMLIK (BURSA)","Ilksel"
"134","2020.12.16 01:11:53","37.7988"," 26.8113"," 13.4","-.-","1.6","-.-"," SISAM ADASI (EGE DENIZI)","Ilksel"
"135","2020.12.16 01:06:16","38.0122"," 27.0783","3.0","-.-","1.6","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"136","2020.12.15 22:22:46","37.7520"," 27.0330","5.3","-.-","1.6","-.-"," SISAM ADASI (EGE DENIZI)","Ilksel"
"137","2020.12.15 22:12:07","37.7788"," 27.0868"," 13.3","-.-","1.6","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"138","2020.12.15 21:48:35","35.7150"," 26.2733"," 10.4","-.-","3.7","3.5"," AKDENIZ"," Ilksel"
"139","2020.12.15 20:50:39","36.5500"," 28.7703"," 25.8","-.-","1.3","-.-"," AKDENIZ"," Ilksel"
"140","2020.12.15 19:59:10","37.8295"," 27.1967","5.0","-.-","1.5","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
